_meta.locale,en,ar,de-DE,es-419,es-ES,fr-FR,hi-IN,id,it-IT,ja-JP,km,ko-KR,pl-PL,pt-BR,vi-VN,zh-CN,ru-RU,uk-UA,tr
button.dimiss,Dismiss,رفض,Zurückweisen,Despedir,Despedir,Rejeter,नकार देना,Membubarkan,Congedare,却下する,បដិសេធ,해고하다,Odrzucać,Liberar,Miễn nhiệm,关闭,Отозвать,Відхилити,Vazgeç
button.discard,Discard,ينبذ,Verwerfen,Desechar,Desechar,Jeter,खारिज करना,Membuang,Scartare,破棄,លុបចោលការផ្លាស់ប្តូរ,폐기,Wyrzucać,Descartar,Loại bỏ,丢弃,Сбросить,Відкинути,Geri Al
button.discard_draft,Discard Draft,تجاهل المسودة,Entwurf verwerfen,Descartar borrador,Descartar borrador,Supprimer le brouillon,मसौदा त्यागें,Buang Draf,Scarta bozza,下書きを破棄,បោះបង់សេចក្តីព្រាង,초안 폐기,Odrzuć wersję roboczą,Descartar rascunho,Hủy bản nháp,丢弃草稿,Удалить Черновик,Відкинути чернетку,Taslağı Geri Al
button.done,Done,منتهي,Erledigt,Hecho,Hecho,Fait,हो गया,Selesai,Fatto,完了,រួចរាល់,완료,Zrobione,Feito,Xong,完成,Готово,Готово,Tamam
button.edit,Edit,يحرر,Bearbeiten,Editar,Editar,Modifier,संपादन करना,Sunting,Modificare,編集,កែសម្រួល,편집,Redagować,Editar,Biên tập,编辑,Изменить,Редагувати,Düzenle
button.export,Export,تصدير البيانات,Exportdaten,Exportar datos,Exportar datos,Données d'exportation,डेटा निर्यात करें,Ekspor Data,Esporta dati,データのエクスポート,នាំចេញទិន្នន័យ,내보내기 데이터,Eksport danych,Exportar dados,Xuất dữ liệu,导出数据,Экспортные данные,Експорт,Dışa Aktar
button.export_assets,Export Media,تصدير الوسائط,Exportmedien,Medios de exportación,Medios de exportación,Exporter les médias,निर्यात मीडिया,Ekspor Media,Esportazione di media,メディアのエクスポート,នាំចេញមេឌៀ,미디어 내보내기,Eksport mediów,Mídia de exportação,Xuất khẩu phương tiện truyền thông,出口媒体,Экспорт медиа,Експортувати медіафайл,Medyayı Dışa Aktar
button.forgot_pin,Forgot PIN?,هل نسيت رقم التعريف الشخصي؟,PIN vergessen?,¿Olvidaste tu PIN?,¿Olvidaste tu PIN?,Vous avez oublié votre code PIN ?,पिन भूल गए?,Lupa PINnya?,Hai dimenticato il PIN?,PIN をお忘れですか？,ភ្លេចកូដ PIN?,PIN 번호를 잊으셨나요?,Zapomniałeś PIN-u?,Esqueceu o PIN?,Quên mã PIN?,忘记密码？,Забыли PIN-код?,Забули PIN-код?,PIN kodunuzu mu unuttunuz?
button.get_started,Get Started,ابدأ,Legen Sie los,Empezar,Empezar,Commencer,शुरू हो जाओ,Memulai,Inizia,開始,ចាប់ផ្តើម,시작하기,Rozpocznij,Comece,Bắt đầu,开始使用,Начать,Розпочати,Başlayın
button.grant_permission,Grant Permission,منح الإذن,Berechtigung erteilen,Conceder permiso,Conceder permiso,Accorder la permission,अनुमति प्रदान करें,Memberikan Izin,Concedere l'autorizzazione,許可を与える,ផ្តល់ការអនុញ្ញាត,허가를 부여하다,Udziel pozwolenia,Conceder Permissão,Cấp quyền,授予权限,Выдать доступ,Надати дозвіл,İzin Ver
button.import,Import,يستورد,Import,Importar,Importar,Importer,आयात,Impor,Importare,インポート,នាំចូលឯកសារ,가져오기,Import,Importar,Nhập khẩu,导入,Импорт,Імпорт,İçe aktar
button.info,Info,معلومات,Info,Información,Información,Informations,जानकारी,Informasi,Informazioni,情報,ព័ត៌មាន,정보,Informacje,Informações,Thông tin,信息,Инфо,Інфо,Bilgi
button.insert_from_device,Insert from Device,أدخل من الجهاز,Vom Gerät einfügen,Insertar desde el dispositivo,Insertar desde el dispositivo,Insérer depuis l'appareil,डिवाइस से डालें,Sisipkan dari Perangkat,Inserisci dal dispositivo,デバイスから挿入,បញ្ចូលពីឧបករណ៍,기기에서 삽입,Włóż z urządzenia,Inserir a partir do dispositivo,Chèn từ thiết bị,从设备插入,Вставить из устройства,Вставити з пристрою,Cihazdan Ekle
button.less,Less,أقل,Weniger,Menos,Menos,Moins,कम,Lebih sedikit,Meno,少ない,តិចជាង,더 적은,Mniej,Menos,Ít hơn,较少的,Венигер,Менше,Daha az
button.manage_pages,Manage pages,إدارة الصفحات,Seiten verwalten,Administrar páginas,Administrar páginas,Gérer les pages,पेज प्रबंधित करें,Kelola halaman,Gestisci le pagine,ページの管理,គ្រប់គ្រងទំព័រ,페이지 관리,Zarządzaj stronami,Gerenciar páginas,Quản lý trang,管理页面,Управление Страницами,Керувати сторінками,Sayfaları yönetin
button.maybe_later,Maybe later,ربما في وقت لاحق,Vielleicht später,Quizás más tarde,Quizás más tarde,Peut-être plus tard,शायद बाद में,mungkin nanti,Forse più tardi,後で,ប្រហែលជាពេលក្រោយ,아마 나중에,Może później,Talvez mais tarde,Có thể sau này,以后再说,Приобрести позже,"Можливо, пізніше",Belki daha sonra
button.more,More,أكثر,Mehr,Más,Más,Plus,अधिक,Lagi,Di più,もっと,ច្រើនទៀត,더,Więcej,Mais,Hơn,更多的,Мехр,Більше,Daha Fazla
button.more_options,More Options,المزيد من الخيارات,Weitere Optionen,Más opciones,Más opciones,Plus d'options,अधिक विकल्प,Opsi Lainnya,Più opzioni,その他のオプション,ជម្រើសច្រើនទៀត,더 많은 옵션,Więcej opcji,Mais opções,Tùy chọn khác,更多选项,Больше Опций,Більше опцій,Daha Fazla Seçenek
button.move_to_bin,Move to bin,الانتقال إلى سلة المهملات,In den Papierkorb verschieben,Mover a la papelera,Mover a la papelera,Déplacer vers la corbeille,बिन में ले जाएँ,Pindah ke tempat sampah,Sposta nel cestino,ゴミ箱に移動,ផ្លាស់ទីទៅធុងសំរាម,휴지통으로 이동,Przenieś do kosza,Mover para a lixeira,Di chuyển vào thùng rác,移至垃圾箱,В Корзину,Перемістити до кошика,Çöp kutusuna taşı
button.move_to_bin_all,Move all to bins,انقل الكل إلى الصناديق,Alles in die Mülleimer verschieben,Mover todo a contenedores,Mover todo a contenedores,Déplacez tout dans les bacs,सभी को डिब्बे में ले जाएँ,Pindahkan semua ke tempat sampah,Sposta tutto nei contenitori,すべてをゴミ箱に移動,ផ្លាស់ទីទាំងអស់ទៅធុងសំរាម,모두 휴지통으로 이동,Przenieś wszystko do koszy,Mova tudo para as lixeiras,Di chuyển tất cả vào thùng,全部移至垃圾箱,Всё в корзину,Перемістити все до кошика,Hepsini çöp kutusuna taşı
button.move_to_current_location,Move to current location,الانتقال إلى الموقع الحالي,Zum aktuellen Standort wechseln,Mover a la ubicación actual,Mover a la ubicación actual,Aller à l'emplacement actuel,वर्तमान स्थान पर जाएं,Pindah ke lokasi saat ini,Sposta alla posizione attuale,現在地へ移動,ផ្លាស់ទីទៅទីតាំងបច្ចុប្បន្ន,현재 위치로 이동,Przejdź do bieżącej lokalizacji,Mover para a localização atual,Di chuyển đến vị trí hiện tại,移动到当前位置,Перейти в текущее местоположение,Перейти до поточного місцезнаходження,Mevcut konuma git
button.move_to_trash,Move to trash,انقل إلى سلة المهملات,In den Papierkorb verschieben,Trasladar a la basura,Trasladar a la basura,Déplacer vers la poubelle,ट्रैश में ले जाएं,Pindahkan ke tempat sampah,Sposta nel cestino,ゴミ箱に移動,ផ្លាស់ទីទៅធុងសំរាម,쓰레기통으로 이동,Przenieś do kosza,Mova para o lixo,Vứt vào thùng rác,移至垃圾桶,Переместить в мусорное ведро,Перемістити в кошик,Çöp kutusuna taşı
button.new_story,New Story,قصة جديدة,Neue Geschichte,Nueva historia,Nueva historia,Nouvelle histoire,नई कहानी,Cerita Baru,Nuova storia,新しいストーリー,បង្កើត,새 스토리,Nowa historia,Nova história,Truyện mới,新故事,Новая история,Нова розповідь,Yeni Hikaye
button.new_template,New Template,قالب جديد,Neue Vorlage,Nueva plantilla,Nueva plantilla,Nouveau modèle,नया टेम्पलेट,Template Baru,Nuovo modello,新しいテンプレート,គំរូថ្មី,새 템플릿,Nowy szablon,Novo modelo,Mẫu mới,新模板,Новый шаблон,Новий шаблон,Yeni Şablon
button.next,Next,التالي,Nächste,Próximo,Próximo,Suivant,अगला,Berikutnya,Prossimo,次へ,បន្ទាប់,다음,Następny,Próximo,Kế tiếp,下一个,Далее,Далі,Sonraki
button.open,Open,يفتح,Offen,Abierto,Abierto,Ouvrir,खुला,Membuka,Aprire,開く,បើក,열기,Otwarte,Abrir,Mở,打开,Открыть,Відкрити,Açık
button.open_in_args,Open in {OPENEE_NAME},افتح في {OPENEE_NAME},Öffnen in {OPENEE_NAME},Abrir en {NOMBRE_OPENEE},Abrir en {NOMBRE_OPENEE},Ouvrir dans {OPENEE_NAME},{OPENEE_NAME} में खोलें,Buka di {OPENEE_NAME},Apri in {NOME_APERTO},{OPENEE_NAME}で開く,បើកនៅក្នុង {OPENEE_NAME},{OPENEE_NAME}에서 열기,Otwórz w {OPENEE_NAME},Abrir em {OPENEE_NAME},Mở trong {OPENEE_NAME},打开方式：{OPENEE_NAME},Открыть в {ИМЯ_ОТКРЫВАЕМОГО_ЧЕЛОВЕКА},Відкрити в {OPENEE_NAME},{OPENEE_NAME} içinde aç
button.open_location_settings,Open Location Settings,فتح إعدادات الموقع,Standorteinstellungen öffnen,Abrir configuración de ubicación,Abrir configuración de ubicación,Ouvrir les paramètres de localisation,स्थान सेटिंग्स खोलें,Buka Pengaturan Lokasi,Apri impostazioni posizione,位置情報設定を開く,បើកការកំណត់ទីតាំង,위치 설정 열기,Otwórz ustawienia lokalizacji,Abrir configurações de localização,Mở cài đặt vị trí,打开位置设置,Открыть настройки местоположения,Відкрити налаштування місцезнаходження,Konum Ayarlarını Aç
button.open_settings,Open Settings,فتح الإعدادات,Einstellungen öffnen,Abrir configuración,Abrir configuración,Ouvrir les paramètres,सेटिंग्स खोलें,Buka Pengaturan,Apri impostazioni,設定を開く,បើកការកំណត់,설정 열기,Otwórz ustawienia,Abrir configurações,Mở cài đặt,打开设置,Открыть настройки,Відкрити налаштування,Ayarları aç
button.optimize,Optimize,تحسين,Optimieren,Optimizar,Optimizar,Optimiser,अनुकूलन,Optimalkan,Ottimizzare,最適化する,បង្កើនប្រសិទ្ធភាព,최적화,Być optymistą,Otimizar,Tối ưu hóa,优化,Оптимизировать,Оптимізувати,Optimize
button.permanent_delete,Delete,يمسح,Löschen,Borrar,Borrar,Supprimer,मिटाना,Menghapus,Eliminare,削除,លុប,삭제,Usuwać,Excluir,Xóa bỏ,删除,Удалить,Видалити,Sil
button.permanent_delete_all,Delete all,احذف الكل,Alles löschen,eliminar todo,eliminar todo,Supprimer tout,सभी हटा दो,Hapus semua,Elimina tutto,すべて削除,លុបទាំងអស់,모두 삭제,Usuń wszystko,Excluir tudo,Xóa tất cả,全部删除,Удалить всё,Видалити все,Tümünü sil
button.pin_story,Pin story,قصة دبوس,Pin-Story,Anclar historia,Historia de pin,Épingler l'histoire,पिन स्टोरी,Pin story,Aggiungi la storia ai preferiti,ピンストーリー,ខ្ទាស់រឿង,핀 스토리,Przypnij historię,Afixar história,Ghim câu chuyện,固定故事,Закрепить историю,Закріпити розповідь,Hikayeyi sabitle
button.purchase_for_args,Purchase for {PRICE},اشترِ بسعر {PRICE},Kaufpreis {PRICE},Comprar por {PRICE},Comprar por {PRICE},Achat pour {PRICE},{PRICE} में खरीदें,Beli dengan harga {PRICE},Acquista per {PRICE},{PRICE}で購入,ទិញក្នុងតម្លៃ {PRICE},{PRICE}에 구매하세요,Kup za {PRICE},Compre por {PRICE},Mua với giá {PRICE},购买价格为 {PRICE},Купить за {PRICE},Купити за {PRICE},{PRICE} karşılığında satın alın
button.put_back,Put back,أعد,Zurücklegen,Volver,Volver,Remettre,पहली अवस्था में लाना,Kembali,Rimetti a posto,元に戻す,ដាក់មកវិញ,되돌리기,Położyć z powrotem,Colocar de volta,Đặt lại,恢复,Вернуть на главную,Повернути,Geri koy
button.put_back_all,Put all back,ضع كل شيء مرة أخرى,Lege alles zurück,Pon todo de vuelta,Pon todo de vuelta,Remettez tout en place,सब वापस रख दो,Kembalikan semuanya,Rimetti tutto a posto,全部元に戻す,ដាក់មកវិញទាំងអស់,모두 되돌리기,Odłóż wszystko z powrotem,Coloque tudo de volta,Đặt lại tất cả,全部恢复,Вернуть всё на главную,Повернути все,Hepsini geri koy
button.record_voice,Record,تسجيل الصوت,Sprachaufnahme,Grabar voz,Grabar voz,Enregistrement vocal,आवाज रिकॉर्ड करना,Rekam suara,Registra la voce,音声を録音する,ថតសំឡេង,음성 녹음,Nagraj głos,Gravar voz,Ghi âm giọng nói,录音,Записать голос,Запис,Kayıt
button.redeem_code,Redeem Code,استرداد الرمز,Einlösecode,Canjear código,Canjear código,Code d'échange,रीडीम कोड,Kode Penukaran,Riscatta il codice,コードを引き換える,ប្ដូរយកលេខកូដ,코드 사용,Zrealizuj kod,Código de resgate,Mã đổi thưởng,兑换码,Einlösecode,Використати код,Kodu Kullan
button.refresh,Refresh,ينعش,Aktualisieren,Refrescar,Refrescar,Rafraîchir,ताज़ा करना,Menyegarkan,Aggiornare,リフレッシュ,ធ្វើឱ្យស្រស់,새로 고치다,Odświeżać,Atualizar,Làm cho khỏe lại,刷新,Обновить,Оновити,Yenile
button.remove,Remove,يزيل,Entfernen,Eliminar,Eliminar,Retirer,निकालना,Menghapus,Rimuovere,取り除く,ដកចេញ,제거하다,Usunąć,Remover,Di dời,消除,Энтфернен,Вилучити,Kaldır
button.remove_selected_place,Remove selected place,إزالة المكان المحدد,Ausgewählten Ort entfernen,Eliminar lugar seleccionado,Eliminar lugar seleccionado,Supprimer le lieu sélectionné,चयनित स्थान हटाएं,Hapus tempat yang dipilih,Rimuovi luogo selezionato,選択した場所を削除,លុបទីកន្លែងដែលបានជ្រើសរើស,선택한 장소 제거,Usuń wybrane miejsce,Remover local selecionado,Xóa địa điểm đã chọn,删除所选地点,Удалить выбранное место,Видалити вибране місце,Seçili yeri kaldır
button.rename,Rename,إعادة التسمية,Umbenennen,Rebautizar,Rebautizar,Rebaptiser,नाम बदलें,Ganti nama,Rinominare,名前を変更,ប្តូរឈ្មោះ,이름 바꾸기,Przemianować,Renomear,Đổi tên,重命名,Переименовать,Перейменувати,Yeniden isimlendir
button.reset,Reset,إعادة ضبط,Zurücksetzen,Reiniciar,Reiniciar,Réinitialiser,रीसेट करें,Mengatur ulang,Reset,リセット,កំណត់ឡើងវិញ,초기화,Nastawić,Reiniciar,Cài lại,重置,Сбросить,Скинути,Sıfırla
button.reset_theme,Reset theme,إعادة تعيين السمة,Setzen Sie das Design zurück,Restablecer el tema,Restablecer el tema,Réinitialiser le thème,थीम रीसेट करें,Setel ulang tema,Reimposta il tema,テーマをリセットする,កំណត់ប្រធានបទឡើងវិញ,테마 재설정,Zresetuj motyw,Redefinir o tema,Đặt lại chủ đề,重置主题,Сбросить тему,Скинути тему,Temayı Sıfırla
button.restart,Restart,إعادة تشغيل,Neustart,Reanudar,Reanudar,Redémarrage,पुनः आरंभ करें,Mulai ulang,Ricomincia,再起動,ចាប់ផ្ដើមឡើងវិញ,다시 시작,Uruchom ponownie,Reiniciar,Khởi động lại,重启,Перезапустить,Перезапустити,Tekrar Başlat
button.restore,Restore,يعيد,Wiederherstellen,Restaurar,Restaurar,Restaurer,पुनर्स्थापित करना,Memulihkan,Ripristinare,復元,ស្តារ,복원,Przywrócić,Restaurar,Khôi phục,恢复,Восстановить,Відновити,Geri Yükle
button.restore_purchase,Restore Purchase,استعادة الشراء,Kauf wiederherstellen,Restaurar compra,Restaurar compra,Restaurer l'achat,पुनःस्थापन क्रय,Pulihkan Pembelian,Ripristina acquisto,購入を復元,ទិញឡើងវិញ,구매 복원,Przywróć zakup,Restaurar Compra,Khôi phục mua hàng,恢复购买,Восстановить покупку,Відновити покупку,Satın Alımı Geri Yükle
button.retry,Retry,إعادة المحاولة,Wiederholen,Rever,Rever,Réessayer,पुन: प्रयास करें,Mencoba kembali,Riprova,リトライ,ព្យាយាមម្តងទៀត,다시 해 보다,Spróbować ponownie,Tentar novamente,Thử lại,重试,Повторить,Повторити,Tekrar dene
button.save,Save,يحفظ,Speichern,Guardar,Ahorrar,Sauvegarder,बचाना,Menyimpan,Salva,保存,រក្សាទុក,저장,Ratować,Salvar,Cứu,保存,Сохранить,Зберегти,Kaydet
button.save_as_template,Save as Template,حفظ كقالب,Als Vorlage speichern,Guardar como plantilla,Guardar como plantilla,Enregistrer comme modèle,टेम्पलेट के रूप में सहेजें,Simpan sebagai Template,Salva come modello,テンプレートとして保存,រក្សាទុកជាគំរូ,템플릿으로 저장,Zapisz jako szablon,Salvar como modelo,Lưu dưới dạng Mẫu,另存为模板,Сохранить как шаблон,Зберегти як шаблон,Şablon olarak kaydet
button.save_template,Save Template,حفظ القالب,Vorlage speichern,Guardar plantilla,Guardar plantilla,Enregistrer le modèle,टेम्पलेट सहेजें,Simpan Template,Salva modello,テンプレートを保存,រក្សាទុកគំរូ,템플릿 저장,Zapisz szablon,Salvar modelo,Lưu mẫu,保存模板,Сохранить шаблон,Зберегти шаблон,Şablonu Kaydet
button.search,Search,يبحث,Suchen,Buscar,Buscar,Recherche,खोज,Mencari,Ricerca,検索,ស្វែងរក,검색,Szukaj,Procurar,Tìm kiếm,搜索,Поиск,Пошук,Ara
button.select,Select,يختار,Wählen,Seleccionar,Seleccionar,Sélectionner,चुनना,Memilih,Selezionare,選択,ជ្រើសរើស,선택하다,Wybierać,Selecione,Lựa chọn,选择,Выбрать,Обрати,Seç
button.select_all,Select all,حدد الكل,Alle auswählen,Seleccionar todo,Seleccionar todo,Tout sélectionner,सबका चयन करें,Pilih semua,Seleziona tutto,すべて選択,ជ្រើសរើសទាំងអស់,모두 선택,Zaznacz wszystko,Selecionar tudo,Chọn tất cả,全选,Выбрать всё,Обрати все,Tümünü seç
button.share,Share,يشارك,Aktie,Compartir,Compartir,Partager,शेयर करना,Membagikan,Condividere,共有,ចែករំលែក,공유,Udział,Compartilhar,Chia sẻ,分享,Поделиться,Поширити,Paylaş
button.show_day_count_on_home,Show days-ago label on home,إظهار ملصق الأيام الماضية على الصفحة الرئيسية,Anzeige der Tage zuvor-Markierung auf der Startseite,Mostrar la etiqueta de hace días en la página de inicio,Mostrar la etiqueta de hace días en la página de inicio,Afficher l'étiquette d'il y a quelques jours sur la maison,होम पर दिन पहले का लेबल दिखाएं,Tampilkan label hari lalu di beranda,Mostra l'etichetta dei giorni fa sulla home page,ホームに「数日前」ラベルを表示する,បង្ហាញស្លាកកាលពីថ្ងៃមុននៅលើផ្ទះ,홈에 며칠 전 라벨 표시,Pokaż etykietę dni temu na stronie głównej,Mostrar etiqueta de dias atrás na página inicial,Hiển thị nhãn ngày trước trên trang chủ,几天前在首页显示标签,Anzeige der Tage zuvor-Markierung auf der Startseite,Показувати мітку кількості днів на головній сторінці,"Ana sayfada ""günler önce"" etiketini göster"
button.sign_out,Sign Out,تسجيل الخروج,Abmelden,Desconectar,Desconectar,Se déconnecter,साइन आउट,Keluar,Disconnessione,ログアウト,ចេញ,로그아웃,Wyloguj się,Sair,Đăng xuất,退出,Выйти,Вийти,Oturumu Kapat
button.skip,Skip,يتخطى,Überspringen,Saltar,Saltar,Sauter,छोडना,Melewati,Saltare,スキップ,រំលង,건너뛰다,Pominąć,Pular,Nhảy,跳过,Пропустить,Пропустити,Atla
button.stop,Stop,قف,Stoppen,Detener,Detener,Arrêt,रुकना,Berhenti,Fermare,停止,ឈប់,멈추다,Zatrzymywać się,Parar,Dừng lại,停止,Остановить,Зупинити,Durdur
button.suggest,Suggest,يقترح,Vorschlagen,Sugerir,Sugerir,Suggérer,सुझाव देना,Menyarankan,Suggerire,提案,ណែនាំ,제안,Sugerować,Sugerir,Gợi ý,建议,Пожелать,Рекомендувати,Tavsiyede Bulun
button.switch,Switch,يُحوّل,Schalten,Cambiar,Cambiar,Changer,बदलना,Mengalihkan,Interruttore,切り替え,ប្តូរ,전환,Przełącznik,Trocar,Công tắc,切换,Переключить,Перемкнути,Değiştir
button.switch_map_style,Switch map style,تبديل نمط الخريطة,Kartenstil wechseln,Cambiar estilo de mapa,Cambiar estilo de mapa,Changer le style de la carte,मानचित्र शैली बदलें,Ganti gaya peta,Cambia stile mappa,マップスタイルを切り替える,ប្តូររចនាប័ទ្មផែនទី,지도 스타일 전환,Zmień styl mapy,Alternar estilo do mapa,Chuyển đổi kiểu bản đồ,切换地图样式,Переключить стиль карты,Змінити стиль карти,Harita stilini değiştir
button.sync,Sync,مزامنة,Synchronisieren,Sincronizar,Sincronizar,Synchroniser,साथ-साथ करना,Sinkronisasi,Sincronizzazione,同期,ធ្វើសមកាលកម្ម,동기화,Synchronizuj,Sincronizar,Đồng bộ hóa,同步,Синхронизировать,Синхронізувати,Senkronize Et
button.take_photo,Take Photo,التقط صورة,Foto aufnehmen,Tomar foto,Tomar foto,Prendre une photo,फोटो लो,Ambil Foto,Scatta una foto,写真を撮る,ថតរូប,사진 찍기,Zrób zdjęcie,Tirar foto,Chụp ảnh,拍照,Сфотографировать,Сфотографувати,Fotoğraf Çek
button.take_survey,Take Survey,شارك في الاستطلاع,Nehmen Sie an der Umfrage teil,Realizar encuesta,Realizar encuesta,Participer à l'enquête,सर्वेक्षण करो,Ikuti Survei,Partecipa al sondaggio,アンケートにご協力ください,ទទួលយកការស្ទង់មតិ,설문조사 참여,Weź udział w ankiecie,Faça uma pesquisa,Tham gia khảo sát,参与调查,Создать опрос,Створити опитування,Ankete Katıl
button.try,Try,يحاول,Versuchen,Intentar,Intentar,Essayer,कोशिश,Mencoba,Tentativo,試す,ព្យាយាម,노력하다,Próbować,Tentar,Thử,尝试,Ещё раз,Спробувати,Dene
button.undo,Undo,تراجع,Rückgängig machen,Deshacer,Deshacer,Défaire,पूर्ववत,Membuka,Disfare,元に戻す,មិនធ្វើវិញ,실행 취소,Anulować,Desfazer,Hoàn tác,撤消,Вернуть,Повернути,Geri al
button.unlock,Unlock,فتح,Entsperren,Descubrir,Descubrir,Ouvrir,अनलॉक,Membuka kunci,Sbloccare,ロックを解除,ដោះសោ,잠금 해제,Odblokować,Desbloquear,Mở khóa,解锁,Разблокировать,Розблокувати,Kilidi aç
